878 - CARIME - PALAGIANELLO - Via Carducci 11, PALAGIANELLO, TA (PUGLIA), Italy
899 - CARIME - RUVO DI PUGLIA - Via Monsignor Bruni 14, RUVO DI PUGLIA, BA (PUGLIA), Italy
906 - CARIME - TITO SCALO - C.Da Serra - Villaggio Mancusi 72, TITO SCALO, PZ (BASILICATA), Italy
935 - CARIME - POLISTENA - Piazza Bellavista 1, POLISTENA, RC (CALABRIA), Italy
939 - CARIME - LATERZA - Piazzale Saragat 11, LATERZA, TA (PUGLIA), Italy
949 - CARIME - SAN GIORGIO JONICO - Via Cadorna 11, SAN GIORGIO JONICO, TA (PUGLIA), Italy
972 - CARIME - PIZZO CALABRO - Via Marconi 2, PIZZO CALABRO, VV (CALABRIA), Italy
976 - CARIME - MOLFETTA - Via Tenente Fiorini 9, MOLFETTA, BA (PUGLIA), Italy
977 - CARIME - TROPEA - Viale Stazione, TROPEA, VV (CALABRIA), Italy
1020 - CARIME - ATENA LUCANA - Via Stazione, ATENA LUCANA, SA (CAMPANIA), Italy
1032 - CARIME - CASSANO ALLO JONIO - Corso Garibaldi 30, CASSANO ALLO JONIO, CS (CALABRIA), Italy
1068 - CARIME - PATERNO DI LUCANIA - Piazza Autonomia, PATERNO DI LUCANIA, PZ (BASILICATA), Italy
1081 - CARIME - SAPRI - Via Marsala 44, SAPRI, SA (CAMPANIA), Italy
1107 - CARIME - PISTICCI - AG. 2 - Via Portella Delle Ginestre, PISTICCI, MT (BASILICATA), Italy
1112 - CARIME - SALINE DI MONTEBELLO JONICO - Via Nazionale 111, SALINE DI MONTEBELLO JONICO, RC (CALABRIA), Italy
1145 - CARIME - COSENZA - CENTRO DIREZIONALE - Viale Prati, COSENZA, CS (CALABRIA), Italy
